n	cost	search-status	sequence
4516	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 3, +1, << 2]
4517	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 3, +1, << 2, +1]
4518	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 3, +1, << 1, +1, << 1]
4519	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 3, -1]
4520	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 3]
4521	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 3, +1]
4522	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 2, +1, << 1]
4523	12	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 2, +1, << 1, +1]
4524	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 1, +1, << 2]
4525	12	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 2, +1, << 1, +1, << 2, +1]
4526	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 3, -1, << 1]
4527	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 4, -1]
4528	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 4]
4529	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 4, +1]
4530	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 3, +1, << 1]
4531	12	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 3, +1, << 1, +1]
4532	11	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 2, +1, << 2]
4533	12	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 2, +1, << 2, +1]
4534	13	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 1, +1, << 2, +1, << 1, +1, << 1]
4535	8	upper-bound	[<< 3, +1, << 3, -1, << 3, -1, << 3, -1]
4536	7	upper-bound	[<< 3, +1, << 3, -1, << 3, -1, << 3]
4537	8	upper-bound	[<< 3, +1, << 3, -1, << 3, -1, << 3, +1]
4538	9	upper-bound	[<< 3, +1, << 3, -1, << 3, -1, << 2, +1, << 1]
